Designator, Mid X, Mid Y, Layer, Rotation
C1, 15.80, 24.30,Top,   0
C3, 15.80, 17.96,Top,   0
C4,  6.00, 13.38,Top,   0
C5, 14.00,  5.38,Top,   0
C6,  6.00,  5.38,Top,   0
C7, 14.00, 13.38,Top,   0
C9, 12.38, 21.62,Top, 270
LED1, 16.38, 33.25,Top, 180
Q1, 10.38, 28.00,Top,   270
Q2, 11.25, 34.12,Top,   270
Q3,  5.50, 34.12,Top,   270
Q4,  4.12, 28.00,Top,   270
R1, 10.38, 25.25,Top, 180
R2,  5.88, 31.25,Top, 180
R3, 13.75, 27.50,Top,  90
R4, 16.38, 34.75,Top,   0
R5, 10.88, 30.88,Top, 180
R6, 13.88, 34.12,Top,  90
R7,  8.62, 34.12,Top,  90
R8,  4.12, 25.12,Top, 180
R9,  7.12, 27.50,Top,  90
U1, 15.70, 21.26,Top,  0
U3,  6.88, 20.50,Top, 270
U5, 14.00,  3.25,Top,  0
U6, 14.00, 11.25,Top,  0
U7,  6.00, 11.25,Top,  0
U8,  6.00,  3.25,Top,  0
